ID,X_MIN,X_MAX,Y_MIN,Y_MAX,date_lidar,hdom,cv_100,cv_tot,qual,larg_buff,date_maj,hdom_maj,si
584,244063.727271000010660,244163.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,24.1,20.7,29.9,100,-0.0,,,
585,244163.727271000010660,244263.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,25.5,12.5,20.1,100,-0.0,,,
586,244263.727271000010660,244363.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,25.4,12.7,19.3,100,-0.0,,,
587,244363.727271000010660,244463.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,23.7,13.3,25.5,100,-0.0,,,
588,244463.727271000010660,244563.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,26.6,9.5,21.7,100,-0.0,,,
589,244563.727271000010660,244663.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,26.3,14.9,25.9,100,-0.0,,,
590,244663.727271000010660,244763.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,26.2,12.5,23.9,100,-0.0,,,
591,244763.727271000010660,244863.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,25.3,16.9,26.5,100,-0.0,,,
592,244863.727271000010660,244963.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,23.3,23.0,31.8,100,-0.0,,,
593,244963.727271000010660,245063.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,26.8,18.4,21.9,100,-0.0,,,
594,245063.727271000010660,245163.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,29.2,7.7,11.0,100,-0.0,,,
695,239863.727271000010660,239963.727271000010660,52807.006024000002071,52907.006024000002071,,,,,,-0.0,,,
696,239963.727271000010660,240063.727271000010660,52807.006024000002071,52907.006024000002071,,,,,,-0.0,,,
727,243063.727271000010660,243163.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,22.7,31.7,48.3,100,-0.0,,,
728,243163.727271000010660,243263.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,27.6,4.9,22.4,100,-0.0,,,
729,243263.727271000010660,243363.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,20.3,33.0,34.7,95,-0.0,,,
730,243363.727271000010660,243463.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,24.3,12.6,21.0,100,-0.0,,,
731,243463.727271000010660,243563.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,22.6,18.7,29.7,100,-0.0,,,
732,243563.727271000010660,243663.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,23.0,6.8,24.6,100,-0.0,,,
733,243663.727271000010660,243763.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,19.0,25.6,27.9,100,-0.0,,,
734,243763.727271000010660,243863.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,22.1,16.1,26.9,100,-0.0,,,
735,243863.727271000010660,243963.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,24.3,10.7,22.8,100,-0.0,,,
736,243963.727271000010660,244063.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,23.5,21.2,32.5,100,-0.0,,,
737,244063.727271000010660,244163.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,24.4,19.9,26.7,100,-0.0,,,
738,244163.727271000010660,244263.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,24.8,20.0,29.7,100,-0.0,,,
739,244263.727271000010660,244363.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,24.6,10.5,19.7,100,-0.0,,,
740,244363.727271000010660,244463.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,25.3,13.1,23.6,100,-0.0,,,
741,244463.727271000010660,244563.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,25.5,17.1,25.8,100,-0.0,,,
742,244563.727271000010660,244663.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,25.1,20.1,30.1,100,-0.0,,,
743,244663.727271000010660,244763.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,22.3,41.0,42.9,91,-0.0,,,
744,244763.727271000010660,244863.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,23.2,28.5,33.2,100,-0.0,,,
745,244863.727271000010660,244963.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,25.0,20.7,26.8,100,-0.0,,,
746,244963.727271000010660,245063.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,26.9,6.1,13.4,100,-0.0,,,
747,245063.727271000010660,245163.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,21.7,19.5,27.8,100,-0.0,,,
748,245163.727271000010660,245263.727271000010660,52807.006024000002071,52907.006024000002071,2014/01/01,22.6,23.0,32.9,100,-0.0,,,
848,239863.727271000010660,239963.727271000010660,52707.006024000002071,52807.006024000002071,,,,,,-0.0,,,
849,239963.727271000010660,240063.727271000010660,52707.006024000002071,52807.006024000002071,2014/01/01,9.3,-1.0,-1.0,1,-0.0,,,
850,240063.727271000010660,240163.727271000010660,52707.006024000002071,52807.006024000002071,,,,,,-0.0,,,
851,240163.727271000010660,240263.727271000010660,52707.006024000002071,52807.006024000002071,,,,,,-0.0,,,
852,240263.727271000010660,240363.727271000010660,52707.006024000002071,52807.006024000002071,,,,,,-0.0,,,
877,242763.727271000010660,242863.727271000010660,52707.006024000002071,52807.006024000002071,,,,,,-0.0,,,
878,242863.727271000010660,242963.727271000010660,52707.006024000002071,52807.006024000002071,2014/01/01,14.9,30.4,40.6,100,-0.0,,,
879,242963.727271000010660,243063.727271000010660,52707.006024000002071,52807.006024000002071,2014/01/01,18.2,37.2,55.9,100,-0.0,,,
880,243063.727271000010660,243163.727271000010660,52707.006024000002071,52807.006024000002071,2014/01/01,17.7,45.6,48.4,87,-0.0,,,
881,243163.727271000010660,243263.727271000010660,52707.006024000002071,52807.006024000002071,2014/01/01,21.8,29.5,33.8,100,-0.0,,,
882,243263.727271000010660,243363.727271000010660,52707.006024000002071,52807.006024000002071,2014/01/01,23.2,20.7,26.9,100,-0.0,,,
883,243363.727271000010660,243463.727271000010660,52707.006024000002071,52807.006024000002071,2014/01/01,25.3,4.9,15.7,100,-0.0,,,
884,243463.727271000010660,243563.727271000010660,52707.006024000002071,52807.006024000002071,2014/01/01,21.0,20.2,24.7,100,-0.0,,,
